station_id,transaction_date,station_type,region,fuel_type,litres_sold,transaction_value,payment_method,theft_flag,prevention_strategy,staff_present,incident_reported,resolution_status,year,month,day_of_week,segment
St1018,2011-03-30,Self-Service,Wellington,Gasoline 95,26,72.27,Pay-At-Pump,1,Anpr,1,Yes,Recovered,2011,3,Wednesday,Low
St1019,2011-03-30,Self-Service,Wellington,Gasoline 95,38,115.34,Post-Pay,0,,1,No,Recovered,2011,3,Wednesday,Medium
St1020,2010-07-22,Unmanned,Wellington,Gasoline 91,53,162.02,Pre-Pay,0,,0,Yes,Pending,2010,7,Thursday,Medium
St1021,2010-11-24,Unmanned,Wellington,Diesel,24,73.35,Post-Pay,0,Pre-Pay Policy,1,Yes,Unresolved,2010,11,Wednesday,Low
St1022,2005-10-17,Self-Service,Auckland,Diesel,37,104.01,Pre-Pay,0,Cctv,0,Yes,Unresolved,2005,10,Monday,Medium
St1023,2006-02-24,Self-Service,Dunedin,Gasoline 95,40,121.43,Post-Pay,0,Anpr,0,Yes,Recovered,2006,2,Friday,Medium
St1024,2006-06-23,Unmanned,Christchurch,Gasoline 95,21,64.97,Post-Pay,1,Pre-Pay Policy,0,Yes,Recovered,2006,6,Friday,Low
St1025,2006-10-18,Unmanned,Wellington,Gasoline 95,70,197.24,Pre-Pay,0,,0,No,Unresolved,2006,10,Wednesday,High
St1026,2007-06-27,Unmanned,Wellington,Gasoline 91,55,170.42,Post-Pay,0,Pre-Pay Policy,0,No,Pending,2007,6,Wednesday,Medium
St1027,2007-10-25,Staffed,Wellington,Gasoline 95,35,99.8,Post-Pay,0,Pre-Pay Policy,1,Yes,Recovered,2007,10,Thursday,Medium
St1028,2007-02-26,Staffed,Hamilton,Diesel,57,162.32,Pre-Pay,0,,0,Yes,Unresolved,2007,2,Monday,Medium
St1029,2008-07-28,Staffed,Dunedin,Gasoline 95,29,88.99,Pre-Pay,0,Cctv,0,Yes,Unresolved,2008,7,Monday,Low
St1030,2008-07-28,Self-Service,Wellington,Gasoline 91,55,149.46,Pay-At-Pump,0,Pre-Pay Policy,1,No,Unresolved,2008,7,Monday,Medium
St1031,2009-07-27,Staffed,Dunedin,Gasoline 95,44,125.77,Pay-At-Pump,1,,0,No,Unresolved,2009,7,Monday,Medium
St1032,2009-11-24,Self-Service,Christchurch,Gasoline 91,51,151.63,Post-Pay,0,Anpr,1,Yes,Recovered,2009,11,Tuesday,Medium
St1033,2010-03-29,Self-Service,Dunedin,Diesel,42,124.64,Pre-Pay,0,Pre-Pay Policy,0,Yes,Pending,2010,3,Monday,Medium
St1034,2010-03-29,Staffed,Wellington,Diesel,40,115.33,Pay-At-Pump,1,Anpr,1,Yes,Unresolved,2010,3,Monday,Medium
St1035,2010-03-29,Self-Service,Dunedin,Gasoline 91,75,204.36,Post-Pay,0,Pre-Pay Policy,0,Yes,Pending,2010,3,Monday,High
St1036,2010-03-29,Staffed,Auckland,Diesel,74,218.14,Pre-Pay,0,,1,No,Pending,2010,3,Monday,High
St1037,2010-03-29,Staffed,Hamilton,Diesel,47,132.32,Pre-Pay,0,,1,No,Pending,2010,3,Monday,Medium
St1038,2010-03-29,Unmanned,Auckland,Gasoline 91,44,122.96,Pre-Pay,0,Pre-Pay Policy,0,Yes,Recovered,2010,3,Monday,Medium
St1039,2010-03-29,Staffed,Auckland,Gasoline 91,38,113.27,Post-Pay,0,,1,Yes,Pending,2010,3,Monday,Medium
St1040,2010-03-29,Unmanned,Wellington,Diesel,45,123.91,Pre-Pay,0,Pre-Pay Policy,0,No,Pending,2010,3,Monday,Medium
St1041,2010-03-29,Staffed,Dunedin,Diesel,43,121.77,Pay-At-Pump,0,Pre-Pay Policy,1,Yes,Unresolved,2010,3,Monday,Medium
St1042,2006-10-25,Staffed,Christchurch,Gasoline 95,37,109.33,Pay-At-Pump,0,Anpr,0,Yes,Pending,2006,10,Wednesday,Medium
St1043,2006-10-25,Unmanned,Wellington,Gasoline 91,42,117.5,Pay-At-Pump,0,,0,Yes,Pending,2006,10,Wednesday,Medium
St1044,2006-10-25,Unmanned,Hamilton,Diesel,28,75.76,Pay-At-Pump,0,Cctv,0,Yes,Unresolved,2006,10,Wednesday,Low
St1045,2007-10-26,Staffed,Auckland,Gasoline 91,43,127.17,Pre-Pay,0,Cctv,0,Yes,Pending,2007,10,Friday,Medium
St1046,2007-06-28,Self-Service,Auckland,Gasoline 91,65,200.59,Pre-Pay,0,Pre-Pay Policy,0,No,Unresolved,2007,6,Thursday,High
St1047,2007-02-27,Unmanned,Wellington,Diesel,44,128.55,Pre-Pay,0,Cctv,1,No,Unresolved,2007,2,Tuesday,Medium
St1048,2007-02-27,Self-Service,Hamilton,Gasoline 91,66,191.22,Pay-At-Pump,0,Anpr,0,Yes,Recovered,2007,2,Tuesday,High
St1049,2006-06-28,Self-Service,Auckland,Diesel,79,232.74,Pre-Pay,0,Cctv,1,Yes,Recovered,2006,6,Wednesday,High
St1050,2008-10-29,Self-Service,Auckland,Gasoline 95,63,187.46,Pre-Pay,0,,0,Yes,Unresolved,2008,10,Wednesday,High
St1051,2008-10-29,Unmanned,Christchurch,Gasoline 95,31,83.79,Pay-At-Pump,0,,1,Yes,Recovered,2008,10,Wednesday,Low
St1052,2008-10-29,Self-Service,Auckland,Gasoline 95,78,218.97,Pay-At-Pump,0,,0,No,Unresolved,2008,10,Wednesday,High
St1053,2014-01-30,Unmanned,Hamilton,Gasoline 95,32,86.54,Post-Pay,0,Cctv,0,Yes,Recovered,2014,1,Thursday,Low
St1054,2014-01-30,Self-Service,Hamilton,Gasoline 91,58,159.48,Pre-Pay,0,Anpr,0,Yes,Recovered,2014,1,Thursday,Medium
St1055,2014-01-30,Staffed,Christchurch,Gasoline 91,46,140.33,Post-Pay,1,Pre-Pay Policy,1,Yes,Unresolved,2014,1,Thursday,Medium
St1056,2014-01-30,Staffed,Auckland,Gasoline 95,66,194.17,Post-Pay,0,,1,Yes,Recovered,2014,1,Thursday,High
St1057,2014-01-30,Unmanned,Wellington,Diesel,27,76.1,Pre-Pay,0,Pre-Pay Policy,0,No,Pending,2014,1,Thursday,Low
St1058,2014-01-30,Staffed,Christchurch,Gasoline 91,59,164.48,Post-Pay,0,Pre-Pay Policy,1,Yes,Recovered,2014,1,Thursday,Medium
St1059,2014-01-30,Staffed,Hamilton,Diesel,21,62.91,Pre-Pay,0,Anpr,1,Yes,Pending,2014,1,Thursday,Low
St1060,2018-05-25,Self-Service,Wellington,Gasoline 95,21,62.17,Pay-At-Pump,0,,0,Yes,Recovered,2018,5,Friday,Low
St1061,2017-05-26,Unmanned,Auckland,Gasoline 95,56,152.14,Pay-At-Pump,0,Pre-Pay Policy,0,Yes,Pending,2017,5,Friday,Medium
St1062,2017-05-26,Self-Service,Dunedin,Gasoline 91,25,68.72,Post-Pay,0,,0,No,Unresolved,2017,5,Friday,Low
St1063,2016-09-29,Self-Service,Dunedin,Gasoline 95,32,88.93,Pre-Pay,0,Cctv,0,Yes,Recovered,2016,9,Thursday,Low
St1064,2016-05-25,Self-Service,Auckland,Gasoline 95,31,87.88,Pre-Pay,0,Pre-Pay Policy,0,No,Unresolved,2016,5,Wednesday,Low
St1065,2015-09-28,Self-Service,Dunedin,Diesel,23,62.81,Pre-Pay,1,Pre-Pay Policy,0,Yes,Pending,2015,9,Monday,Low
St1066,2015-05-28,Self-Service,Hamilton,Diesel,58,173.24,Pre-Pay,0,Pre-Pay Policy,0,Yes,Recovered,2015,5,Thursday,Medium
St1067,2015-05-28,Self-Service,Auckland,Gasoline 91,71,218.26,Pre-Pay,0,Cctv,0,Yes,Recovered,2015,5,Thursday,High
St1068,2014-09-25,Self-Service,Auckland,Diesel,43,123.53,Pay-At-Pump,0,Anpr,1,Yes,Unresolved,2014,9,Thursday,Medium
St1069,2014-09-25,Unmanned,Auckland,Diesel,24,69.75,Post-Pay,0,Anpr,0,Yes,Unresolved,2014,9,Thursday,Low
St1070,2005-10-19,Staffed,Dunedin,Gasoline 91,41,118.87,Post-Pay,0,Anpr,1,No,Pending,2005,10,Wednesday,Medium
St1071,2013-05-31,Self-Service,Dunedin,Diesel,42,125.75,Post-Pay,0,Pre-Pay Policy,0,Yes,Unresolved,2013,5,Friday,Medium
St1072,2010-02-15,Self-Service,Dunedin,Gasoline 91,61,184.24,Pay-At-Pump,0,Pre-Pay Policy,1,No,Recovered,2010,2,Monday,Medium
St1073,2010-02-15,Self-Service,Hamilton,Gasoline 95,35,100.85,Pay-At-Pump,0,Pre-Pay Policy,0,Yes,Recovered,2010,2,Monday,Medium
St1074,2009-02-13,Self-Service,Wellington,Diesel,25,72.57,Post-Pay,0,Pre-Pay Policy,0,Yes,Unresolved,2009,2,Friday,Low
St1075,2009-02-13,Self-Service,Dunedin,Gasoline 95,49,132.45,Post-Pay,0,Cctv,0,Yes,Unresolved,2009,2,Friday,Medium
St1076,2017-05-30,Self-Service,Hamilton,Gasoline 95,69,198.74,Pay-At-Pump,0,Anpr,0,Yes,Pending,2017,5,Tuesday,High
St1077,2017-05-30,Staffed,Dunedin,Gasoline 91,56,173.35,Post-Pay,0,,0,Yes,Unresolved,2017,5,Tuesday,Medium
St1078,2017-05-30,Staffed,Wellington,Gasoline 95,55,154.96,Post-Pay,0,,0,Yes,Pending,2017,5,Tuesday,Medium
St1079,2017-05-30,Self-Service,Christchurch,Gasoline 95,33,92.91,Pre-Pay,0,,0,No,Unresolved,2017,5,Tuesday,Low
St1080,2017-05-30,Staffed,Auckland,Gasoline 95,55,156.93,Pay-At-Pump,0,Cctv,0,No,Pending,2017,5,Tuesday,Medium
St1081,2009-10-14,Unmanned,Wellington,Gasoline 95,63,179.6,Pay-At-Pump,0,Pre-Pay Policy,0,No,Pending,2009,10,Wednesday,High
St1082,2008-10-14,Self-Service,Christchurch,Diesel,45,138.07,Pay-At-Pump,0,Anpr,0,Yes,Unresolved,2008,10,Tuesday,Medium
St1083,2008-06-16,Unmanned,Christchurch,Diesel,59,182.26,Pay-At-Pump,0,Cctv,0,Yes,Unresolved,2008,6,Monday,Medium
St1084,2008-02-15,Unmanned,Hamilton,Gasoline 91,34,103.93,Pre-Pay,1,Cctv,0,Yes,Unresolved,2008,2,Friday,Low
St1085,2007-10-16,Self-Service,Christchurch,Diesel,39,119.82,Post-Pay,0,,1,Yes,Pending,2007,10,Tuesday,Medium
St1086,2007-06-18,Staffed,Auckland,Gasoline 91,64,184.11,Post-Pay,0,,0,Yes,Recovered,2007,6,Monday,High
St1087,2007-06-18,Unmanned,Dunedin,Gasoline 91,28,82.16,Pay-At-Pump,0,Anpr,1,Yes,Unresolved,2007,6,Monday,Low
St1088,2006-06-19,Self-Service,Christchurch,Gasoline 95,37,107.59,Post-Pay,0,Cctv,0,Yes,Pending,2006,6,Monday,Medium
St1089,2006-06-19,Unmanned,Dunedin,Gasoline 91,24,69.53,Pre-Pay,0,Pre-Pay Policy,1,Yes,Pending,2006,6,Monday,Low
St1090,2009-10-22,Unmanned,Dunedin,Gasoline 95,64,197.51,Post-Pay,0,Anpr,0,No,Pending,2009,10,Thursday,High
St1091,2009-10-22,Unmanned,Christchurch,Diesel,62,180.91,Pre-Pay,0,,1,No,Pending,2009,10,Thursday,Medium
St1092,2007-02-15,Unmanned,Hamilton,Gasoline 95,67,199.27,Post-Pay,0,Anpr,0,Yes,Pending,2007,2,Thursday,High
St1093,2007-06-18,Staffed,Christchurch,Gasoline 95,38,102.69,Post-Pay,0,Anpr,0,Yes,Unresolved,2007,6,Monday,Medium
St1094,2008-06-19,Unmanned,Hamilton,Diesel,44,120.26,Post-Pay,0,Anpr,0,No,Pending,2008,6,Thursday,Medium
St1095,2008-10-17,Unmanned,Dunedin,Gasoline 95,20,56.75,Post-Pay,0,Cctv,0,Yes,Pending,2008,10,Friday,Low
St1096,2009-02-23,Unmanned,Christchurch,Gasoline 91,73,201.85,Post-Pay,0,Cctv,1,Yes,Recovered,2009,2,Monday,High
St1097,2009-06-24,Staffed,Wellington,Gasoline 95,64,195.83,Pay-At-Pump,0,,0,Yes,Unresolved,2009,6,Wednesday,High
St1098,2006-06-15,Unmanned,Auckland,Gasoline 95,61,188.07,Post-Pay,0,Cctv,0,Yes,Pending,2006,6,Thursday,Medium
St1099,2006-06-15,Unmanned,Dunedin,Diesel,58,167.96,Post-Pay,0,Cctv,0,Yes,Unresolved,2006,6,Thursday,Medium
St1100,2006-06-15,Staffed,Auckland,Gasoline 91,35,108.12,Pay-At-Pump,0,Anpr,0,Yes,Unresolved,2006,6,Thursday,Medium
St1101,2006-06-15,Staffed,Dunedin,Diesel,71,219.93,Post-Pay,0,Anpr,1,Yes,Pending,2006,6,Thursday,High
St1102,2012-05-25,Staffed,Wellington,Gasoline 91,31,88.14,Post-Pay,0,Anpr,0,Yes,Unresolved,2012,5,Friday,Low
St1103,2012-09-25,Unmanned,Hamilton,Diesel,73,220.81,Pay-At-Pump,0,Cctv,0,Yes,Unresolved,2012,9,Tuesday,High
St1104,2007-10-16,Staffed,Dunedin,Diesel,79,243.72,Pre-Pay,1,Cctv,0,No,Unresolved,2007,10,Tuesday,High
St1105,2008-02-20,Staffed,Hamilton,Diesel,34,104.66,Post-Pay,0,,0,Yes,Pending,2008,2,Wednesday,Low
St1106,2008-02-20,Unmanned,Auckland,Gasoline 91,35,100.03,Pay-At-Pump,0,Anpr,0,Yes,Pending,2008,2,Wednesday,Medium
St1107,2010-09-28,Staffed,Wellington,Diesel,46,138.68,Post-Pay,0,Pre-Pay Policy,0,No,Pending,2010,9,Tuesday,Medium
St1108,2010-09-28,Unmanned,Auckland,Gasoline 91,75,215.92,Post-Pay,0,,0,Yes,Pending,2010,9,Tuesday,High
St1109,2006-02-16,Self-Service,Hamilton,Gasoline 91,62,180.01,Pre-Pay,0,,0,Yes,Unresolved,2006,2,Thursday,Medium
St1110,2015-02-13,Staffed,Dunedin,Gasoline 95,42,129.99,Pay-At-Pump,0,Cctv,1,No,Unresolved,2015,2,Friday,Medium
St1111,2015-02-13,Self-Service,Dunedin,Diesel,53,160.65,Post-Pay,0,Cctv,0,Yes,Recovered,2015,2,Friday,Medium
St1112,2015-02-13,Unmanned,Dunedin,Gasoline 95,25,70.22,Pay-At-Pump,0,Cctv,1,Yes,Recovered,2015,2,Friday,Low
St1113,2015-02-13,Staffed,Wellington,Gasoline 91,26,71.27,Post-Pay,0,Cctv,0,No,Unresolved,2015,2,Friday,Low
St1114,2015-02-13,Unmanned,Hamilton,Gasoline 91,39,111.71,Post-Pay,0,Anpr,0,Yes,Recovered,2015,2,Friday,Medium
St1115,2015-02-13,Self-Service,Wellington,Gasoline 95,20,58.36,Post-Pay,0,Pre-Pay Policy,1,Yes,Recovered,2015,2,Friday,Low
St1116,2015-02-13,Unmanned,Dunedin,Gasoline 95,61,171.89,Post-Pay,0,Anpr,0,Yes,Recovered,2015,2,Friday,Medium
St1117,2015-02-13,Staffed,Auckland,Gasoline 95,62,191.78,Pre-Pay,0,,1,No,Unresolved,2015,2,Friday,Medium
St1118,2015-02-13,Staffed,Dunedin,Diesel,37,100.56,Post-Pay,0,,0,No,Pending,2015,2,Friday,Medium
St1119,2015-02-13,Self-Service,Dunedin,Gasoline 91,26,77.48,Post-Pay,0,Pre-Pay Policy,1,No,Recovered,2015,2,Friday,Low
St1120,2015-02-13,Unmanned,Christchurch,Gasoline 95,32,97.06,Post-Pay,0,Cctv,1,No,Recovered,2015,2,Friday,Low
St1121,2019-02-13,Staffed,Wellington,Diesel,64,180.15,Pre-Pay,0,Cctv,1,Yes,Recovered,2019,2,Wednesday,High
St1122,2019-06-17,Self-Service,Wellington,Diesel,36,108.43,Pay-At-Pump,0,Cctv,0,No,Unresolved,2019,6,Monday,Medium
St1123,2019-06-17,Staffed,Dunedin,Gasoline 91,78,231.94,Pay-At-Pump,0,,0,Yes,Recovered,2019,6,Monday,High
St1124,2019-06-17,Staffed,Hamilton,Gasoline 95,25,74.66,Pay-At-Pump,1,Anpr,0,No,Recovered,2019,6,Monday,Low
St1125,2019-06-17,Unmanned,Christchurch,Gasoline 95,32,97.22,Pre-Pay,1,Anpr,0,No,Unresolved,2019,6,Monday,Low
St1126,2016-01-18,Staffed,Christchurch,Gasoline 91,58,167.38,Post-Pay,0,Cctv,1,Yes,Recovered,2016,1,Monday,Medium
St1127,2016-01-18,Unmanned,Wellington,Diesel,29,80.12,Pre-Pay,0,Cctv,1,Yes,Recovered,2016,1,Monday,Low
St1128,2016-01-18,Staffed,Wellington,Gasoline 95,25,68.12,Pay-At-Pump,0,Cctv,1,Yes,Pending,2016,1,Monday,Low
St1129,2016-01-18,Self-Service,Auckland,Gasoline 95,45,132.6,Post-Pay,0,Anpr,0,Yes,Unresolved,2016,1,Monday,Medium
St1130,2016-01-18,Staffed,Auckland,Gasoline 91,63,171.48,Pre-Pay,0,Cctv,0,No,Pending,2016,1,Monday,High
St1131,2018-01-16,Unmanned,Christchurch,Gasoline 95,67,196.72,Pay-At-Pump,0,Pre-Pay Policy,1,Yes,Pending,2018,1,Tuesday,High
St1132,2018-01-16,Unmanned,Hamilton,Diesel,69,212.54,Pre-Pay,1,,1,Yes,Unresolved,2018,1,Tuesday,High
St1133,2012-05-14,Self-Service,Wellington,Diesel,48,138.31,Pre-Pay,0,Anpr,1,Yes,Recovered,2012,5,Monday,Medium
St1134,2012-05-14,Staffed,Hamilton,Gasoline 91,39,118.6,Pay-At-Pump,0,Pre-Pay Policy,1,Yes,Recovered,2012,5,Monday,Medium
St1135,2014-05-13,Staffed,Christchurch,Diesel,60,170.64,Pre-Pay,0,Anpr,1,Yes,Recovered,2014,5,Tuesday,Medium
St1136,2014-05-13,Self-Service,Wellington,Gasoline 95,76,229.43,Post-Pay,0,Pre-Pay Policy,0,Yes,Recovered,2014,5,Tuesday,High
St1137,2019-05-14,Staffed,Hamilton,Gasoline 95,65,186.01,Pre-Pay,0,Pre-Pay Policy,1,Yes,Recovered,2019,5,Tuesday,High
St1138,2019-05-14,Staffed,Hamilton,Gasoline 91,50,137.66,Pre-Pay,1,Cctv,1,No,Pending,2019,5,Tuesday,Medium
St1139,2010-05-17,Unmanned,Auckland,Diesel,42,122.79,Pay-At-Pump,0,Anpr,0,Yes,Recovered,2010,5,Monday,Medium
St1140,2010-01-19,Staffed,Christchurch,Gasoline 91,41,116.31,Post-Pay,0,Pre-Pay Policy,1,Yes,Pending,2010,1,Tuesday,Medium
St1141,2010-01-19,Staffed,Wellington,Diesel,53,148.53,Pre-Pay,1,Anpr,0,Yes,Recovered,2010,1,Tuesday,Medium
St1142,2010-01-19,Self-Service,Dunedin,Gasoline 95,28,80.08,Post-Pay,0,Cctv,0,Yes,Pending,2010,1,Tuesday,Low
St1143,2009-01-27,Self-Service,Wellington,Diesel,75,228.78,Post-Pay,0,,0,Yes,Unresolved,2009,1,Tuesday,High
St1144,2009-01-27,Unmanned,Hamilton,Gasoline 95,34,103.4,Post-Pay,0,Anpr,0,No,Recovered,2009,1,Tuesday,Low
St1145,2008-09-17,Staffed,Wellington,Diesel,51,147.63,Post-Pay,0,Pre-Pay Policy,0,Yes,Unresolved,2008,9,Wednesday,Medium
St1146,2008-05-23,Staffed,Dunedin,Gasoline 95,61,184.89,Pay-At-Pump,0,Anpr,0,Yes,Recovered,2008,5,Friday,Medium
St1147,2008-01-25,Staffed,Christchurch,Gasoline 91,30,86.36,Post-Pay,0,,1,Yes,Pending,2008,1,Friday,Low
St1148,2007-09-14,Unmanned,Auckland,Gasoline 91,30,81.36,Pre-Pay,0,Cctv,1,Yes,Unresolved,2007,9,Friday,Low
St1149,2007-01-17,Unmanned,Hamilton,Diesel,77,225.59,Post-Pay,0,Anpr,1,Yes,Unresolved,2007,1,Wednesday,High
St1150,2006-09-13,Self-Service,Wellington,Diesel,68,187.35,Post-Pay,0,Anpr,0,Yes,Recovered,2006,9,Wednesday,High
St1151,2010-05-17,Unmanned,Christchurch,Gasoline 95,37,107.5,Pre-Pay,0,Anpr,0,Yes,Pending,2010,5,Monday,Medium
St1152,2010-05-17,Staffed,Auckland,Gasoline 95,67,188.75,Pay-At-Pump,0,Anpr,1,Yes,Unresolved,2010,5,Monday,High
St1153,2010-09-14,Staffed,Wellington,Diesel,45,122.04,Post-Pay,0,Cctv,1,Yes,Pending,2010,9,Tuesday,Medium
St1154,2010-09-14,Unmanned,Auckland,Gasoline 95,62,187.89,Pre-Pay,0,Anpr,1,Yes,Unresolved,2010,9,Tuesday,Medium
St1155,2011-05-19,Staffed,Auckland,Diesel,62,184.27,Post-Pay,0,,1,Yes,Unresolved,2011,5,Thursday,Medium
St1156,2011-05-19,Staffed,Auckland,Diesel,23,64.63,Pre-Pay,1,Anpr,0,Yes,Unresolved,2011,5,Thursday,Low
St1157,2011-09-16,Unmanned,Wellington,Diesel,51,154.58,Pay-At-Pump,0,Anpr,0,Yes,Unresolved,2011,9,Friday,Medium
St1158,2012-01-18,Unmanned,Auckland,Diesel,77,226.35,Pay-At-Pump,0,Cctv,0,Yes,Unresolved,2012,1,Wednesday,High
St1159,2012-01-18,Staffed,Dunedin,Diesel,48,141.82,Pre-Pay,1,Cctv,0,No,Pending,2012,1,Wednesday,Medium
St1160,2013-01-16,Staffed,Hamilton,Gasoline 91,58,169.27,Pre-Pay,0,Anpr,0,Yes,Recovered,2013,1,Wednesday,Medium
St1161,2015-01-19,Staffed,Auckland,Diesel,23,68.45,Post-Pay,1,Pre-Pay Policy,1,Yes,Recovered,2015,1,Monday,Low
St1162,2013-01-16,Self-Service,Hamilton,Gasoline 91,28,86.6,Pre-Pay,0,Pre-Pay Policy,1,Yes,Recovered,2013,1,Wednesday,Low
St1163,2013-05-14,Self-Service,Dunedin,Gasoline 91,30,90.91,Post-Pay,0,Pre-Pay Policy,0,Yes,Pending,2013,5,Tuesday,Low
St1164,2013-05-14,Self-Service,Wellington,Gasoline 91,49,137.43,Post-Pay,0,,0,Yes,Pending,2013,5,Tuesday,Medium
St1165,2013-05-14,Unmanned,Wellington,Diesel,51,141.76,Post-Pay,0,Cctv,0,Yes,Recovered,2013,5,Tuesday,Medium
St1166,2013-05-14,Self-Service,Auckland,Diesel,55,169.73,Pre-Pay,0,Cctv,1,Yes,Recovered,2013,5,Tuesday,Medium
St1167,2014-01-16,Unmanned,Wellington,Gasoline 95,53,152.59,Pre-Pay,0,,1,Yes,Pending,2014,1,Thursday,Medium
St1168,2014-01-16,Unmanned,Christchurch,Gasoline 91,43,124.59,Post-Pay,0,Cctv,0,Yes,Recovered,2014,1,Thursday,Medium
St1169,2014-01-16,Self-Service,Christchurch,Gasoline 91,51,139.67,Pay-At-Pump,0,,0,Yes,Recovered,2014,1,Thursday,Medium
St1170,2015-01-19,Self-Service,Christchurch,Diesel,39,106.64,Pre-Pay,0,Anpr,0,No,Unresolved,2015,1,Monday,Medium
St1171,2011-09-16,Self-Service,Auckland,Gasoline 95,79,219.42,Pre-Pay,0,Pre-Pay Policy,0,Yes,Pending,2011,9,Friday,High
St1172,2013-11-25,Staffed,Dunedin,Gasoline 91,39,118.46,Pre-Pay,0,Anpr,0,Yes,Pending,2013,11,Monday,Medium
St1173,2017-03-16,Self-Service,Wellington,Diesel,25,72.15,Pre-Pay,0,Pre-Pay Policy,0,Yes,Pending,2017,3,Thursday,Low
St1174,2016-07-19,Staffed,Christchurch,Gasoline 95,26,72.93,Pay-At-Pump,0,Cctv,0,No,Recovered,2016,7,Tuesday,Low
St1175,2016-03-18,Unmanned,Christchurch,Gasoline 95,48,134.28,Post-Pay,0,Cctv,0,Yes,Recovered,2016,3,Friday,Medium
St1176,2016-03-18,Staffed,Auckland,Gasoline 91,48,129.99,Post-Pay,0,Pre-Pay Policy,0,Yes,Unresolved,2016,3,Friday,Medium
St1177,2014-07-17,Self-Service,Christchurch,Gasoline 95,33,100.55,Post-Pay,0,Anpr,0,Yes,Recovered,2014,7,Thursday,Low
St1178,2013-03-25,Unmanned,Auckland,Diesel,43,128.67,Post-Pay,0,Anpr,0,No,Unresolved,2013,3,Monday,Medium
St1179,2012-11-23,Unmanned,Wellington,Diesel,31,89.63,Pre-Pay,0,Cctv,0,No,Pending,2012,11,Friday,Low
St1180,2012-11-23,Unmanned,Dunedin,Gasoline 91,77,230.76,Pay-At-Pump,0,Pre-Pay Policy,0,No,Pending,2012,11,Friday,High
St1181,2016-07-19,Staffed,Wellington,Gasoline 95,54,164.81,Pay-At-Pump,0,Cctv,0,Yes,Unresolved,2016,7,Tuesday,Medium
St1182,2015-11-18,Self-Service,Dunedin,Gasoline 95,59,171.04,Post-Pay,0,Cctv,0,Yes,Unresolved,2015,11,Wednesday,Medium
St1183,2015-11-18,Unmanned,Wellington,Diesel,60,168.77,Post-Pay,0,,0,No,Pending,2015,11,Wednesday,Medium
St1184,2017-07-17,Unmanned,Hamilton,Gasoline 91,34,102.66,Post-Pay,1,Anpr,0,No,Unresolved,2017,7,Monday,Low
